yardline_100,norm_field_goal_percent,norm_diff_field_goal_percent,norm_diff_blocked_percent,field_goal_attempt,desc,field_goal_result,return_yards,play_duration
21.0,0.44390243902439014,0.48569361312159565,0.6951219512195121,1.0,"(11:27) 6-Y.Koo 39 yard field goal is GOOD, Center-49-L.McCullough, Holder-13-B.Pinion.",made,0.0,5.0
4.0,0.44390243902439014,0.48569361312159565,0.6951219512195121,1.0,"(:09) 6-Y.Koo 22 yard field goal is GOOD, Center-49-L.McCullough, Holder-13-B.Pinion.",made,0.0,3.0
16.0,0.44390243902439014,0.48569361312159565,0.6951219512195121,1.0,"(10:16) 6-Y.Koo 34 yard field goal is GOOD, Center-49-L.McCullough, Holder-13-B.Pinion.",made,0.0,4.0
11.0,0.6361702127659573,0.3077785864120894,0.5851063829787234,1.0,"(4:31) 4-J.Elliott 29 yard field goal is GOOD, Center-49-R.Lovato, Holder-10-B.Mann.",made,0.0,3.0
10.0,0.6361702127659573,0.3077785864120894,0.5851063829787234,1.0,"(1:42) 4-J.Elliott 28 yard field goal is GOOD, Center-49-R.Lovato, Holder-10-B.Mann.",made,0.0,3.0
25.0,0.7285714285714284,0.5450498911838376,0.5,1.0,"(12:45) 2-T.Bass 43 yard field goal is GOOD, Center-69-R.Ferguson, Holder-8-S.Martin.",made,0.0,4.0
16.0,0.8146341463414634,0.7000385588794087,0.5,1.0,"(:08) 7-J.Sanders 34 yard field goal is GOOD, Center-48-B.Ferguson, Holder-16-J.Bailey.",made,0.0,4.0
27.0,0.7285714285714284,0.5450498911838376,0.5,1.0,"(7:59) 2-T.Bass 45 yard field goal is No Good, Wide Left, Center-69-R.Ferguson, Holder-8-S.Martin.",missed,0.0,5.0
38.0,0.689795918367347,0.47898199420947674,0.5816326530612245,1.0,"(10:25) 15-K.Fairbairn 56 yard field goal is GOOD, Center-46-J.Weeks, Holder-6-T.Townsend.",made,0.0,5.0
35.0,0.6959999999999998,0.3904475511075106,0.98,1.0,"(3:55) 8-C.Santos 53 yard field goal is GOOD, Center-46-S.Daly, Holder-19-T.Taylor.",made,0.0,4.0
29.0,0.689795918367347,0.47898199420947674,0.5816326530612245,1.0,"(9:58) 15-K.Fairbairn 47 yard field goal is GOOD, Center-46-J.Weeks, Holder-6-T.Townsend.",made,0.0,3.0
41.0,0.689795918367347,0.47898199420947674,0.5816326530612245,1.0,"(:06) 15-K.Fairbairn 59 yard field goal is GOOD, Center-46-J.Weeks, Holder-6-T.Townsend.",made,0.0,5.0
34.0,0.689795918367347,0.47898199420947674,0.5816326530612245,1.0,"(13:43) 15-K.Fairbairn 53 yard field goal is GOOD, Center-46-J.Weeks, Holder-6-T.Townsend.",made,0.0,4.0
36.0,0.6959999999999998,0.3904475511075106,0.98,1.0,"(2:56) 8-C.Santos 54 yard field goal is GOOD, Center-46-S.Daly, Holder-19-T.Taylor.",made,0.0,5.0
4.0,0.5393939393939393,0.5730145374410966,0.29374999999999996,1.0,"(10:44) 2-E.McPherson 22 yard field goal is GOOD, Center-48-C.Adomitis, Holder-8-R.Rehkow.",made,0.0,3.0
1.0,0.7682926829268292,0.5858758015797814,0.34134615384615385,1.0,"(2:13) 7-H.Butker 19 yard field goal is GOOD, Center-41-J.Winchester, Holder-14-M.Araiza.",made,0.0,2.0
15.0,0.5393939393939393,0.5730145374410966,0.29374999999999996,1.0,"(4:23) 2-E.McPherson 33 yard field goal is GOOD, Center-48-C.Adomitis, Holder-8-R.Rehkow.",made,0.0,4.0
30.0,0.5393939393939393,0.5730145374410966,0.29374999999999996,1.0,"(1:37) 2-E.McPherson 48 yard field goal is GOOD, Center-48-C.Adomitis, Holder-8-R.Rehkow.",made,0.0,4.0
35.0,0.5393939393939393,0.5730145374410966,0.29374999999999996,1.0,"(9:33) 2-E.McPherson 53 yard field goal is GOOD, Center-48-C.Adomitis, Holder-8-R.Rehkow.",made,0.0,5.0
32.0,0.7682926829268292,0.5858758015797814,0.34134615384615385,1.0,"(:03) 7-H.Butker 51 yard field goal is GOOD, Center-41-J.Winchester, Holder-14-M.Araiza.",made,0.0,3.0
35.0,0.3666666666666666,0.3504761904761904,0.5450231481481481,1.0,"(9:57) 7-D.Hopkins 53 yard field goal is GOOD, Center-47-C.Hughlett, Holder-13-C.Bojorquez.",made,0.0,5.0
4.0,0.8689655172413792,0.868993269964615,0.36693548387096775,1.0,"(4:47) 39-C.Little 22 yard field goal is GOOD, Center-46-R.Matiscik, Holder-9-L.Cooke.",made,0.0,3.0
20.0,0.3666666666666666,0.3504761904761904,0.5450231481481481,1.0,"(:31) 7-D.Hopkins 38 yard field goal is GOOD, Center-47-C.Hughlett, Holder-13-C.Bojorquez.",made,0.0,4.0
26.0,0.3666666666666666,0.3504761904761904,0.5450231481481481,1.0,"(10:25) 7-D.Hopkins 44 yard field goal is GOOD, Center-47-C.Hughlett, Holder-13-C.Bojorquez.",made,0.0,5.0
25.0,0.8689655172413792,0.868993269964615,0.36693548387096775,1.0,"(5:52) 39-C.Little 43 yard field goal is No Good, Hit Right Upright, Center-46-R.Matiscik, Holder-9-L.Cooke.",missed,0.0,4.0
7.0,0.8689655172413792,0.868993269964615,0.36693548387096775,1.0,"(7:34) 39-C.Little 25 yard field goal is GOOD, Center-46-R.Matiscik, Holder-9-L.Cooke.",made,0.0,2.0
28.0,0.6674999999999999,0.6221340070498176,0.5,1.0,"(10:34) 44-B.Narveson 46 yard field goal is GOOD, Center-42-M.Orzech, Holder-19-D.Whelan.",made,0.0,4.0
23.0,0.6674999999999999,0.6221340070498176,0.5,1.0,"(8:29) 44-B.Narveson 42 yard field goal is GOOD, Center-42-M.Orzech, Holder-19-D.Whelan.",made,0.0,4.0
16.0,0.6918918918918918,0.5083817706755331,0.36250000000000004,1.0,"(4:36) 7-M.Gay 34 yard field goal is GOOD, Center-46-L.Rhodes, Holder-8-R.Sanchez.",made,0.0,4.0
32.0,0.6918918918918918,0.5083817706755331,0.36250000000000004,1.0,"(14:16) 7-M.Gay 50 yard field goal is No Good, Wide Left, Center-46-L.Rhodes, Holder-8-R.Sanchez.",missed,0.0,4.0
16.0,0.6674999999999999,0.6221340070498176,0.5,1.0,"(10:54) 44-B.Narveson 34 yard field goal is GOOD, Center-42-M.Orzech, Holder-19-D.Whelan.",made,0.0,4.0
26.0,0.6674999999999999,0.6221340070498176,0.5,1.0,"(4:15) 44-B.Narveson 45 yard field goal is No Good, Wide Right, Center-42-M.Orzech, Holder-19-D.Whelan.",missed,0.0,5.0
20.0,0.7076923076923076,0.6689915316072256,0.396875,1.0,"(12:22) 4-E.Pineiro 38 yard field goal is GOOD, Center-44-J.Jansen, Holder-10-J.Hekker.",made,0.0,4.0
28.0,0.8704545454545453,0.6259628270550948,0.5,1.0,"(9:07) 11-C.Dicker 46 yard field goal is GOOD, Center-47-J.Harris, Holder-16-J.Scott.",made,0.0,4.0
23.0,0.8704545454545453,0.6259628270550948,0.5,1.0,"(11:06) 11-C.Dicker 42 yard field goal is GOOD, Center-47-J.Harris, Holder-16-J.Scott.",made,0.0,4.0
11.0,0.75,0.49509689717250865,0.5,1.0,"(9:41) 16-J.Karty 29 yard field goal is GOOD, Center-47-A.Ward, Holder-42-E.Evans.",made,0.0,3.0
30.0,0.7999999999999999,0.48361831218974055,0.6052631578947368,1.0,"(5:13) 5-M.Prater 48 yard field goal is GOOD, Center-46-A.Brewer, Holder-12-B.Gillikin.",made,0.0,4.0
39.0,0.7999999999999999,0.48361831218974055,0.6052631578947368,1.0,"(3:32) 5-M.Prater 57 yard field goal is GOOD, Center-46-A.Brewer, Holder-12-B.Gillikin.",made,0.0,5.0
30.0,0.525,0.38500237304224005,0.5,1.0,"(8:34) 9-J.Tucker 48 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",made,0.0,5.0
35.0,0.7149999999999999,0.49005871966492826,0.3821428571428571,1.0,"(9:23) 2-D.Carlson 53 yard field goal is GOOD, Center-50-J.Bobenmoyer, Holder-6-A.Cole.",made,0.0,4.0
25.0,0.525,0.38500237304224005,0.5,1.0,"(6:04) 9-J.Tucker 42 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",made,0.0,4.0
